# This is the list of all model files in descending order of f1-score
# Duplicate models are removed based on their performance
# Date: 09/13/2018

model_name,f1_score,roc_auc_score,total_actives,predicted_actives,version
classifier_long_chain_fatty_acid_transport_protein_1,1.0,1.0,5,5,py27
classifier_cyclin_t1,1.0,1.0,32,32,py27
classifier_vascular_cell_adhesion_protein_1,1.0,1.0,8,8,py27
classifier_sodium_calcium_exchanger_1,1.0,1.0,65,65,py35
classifier_mitogen_activated_protein_kinase_kinase_kinase_8,1.0,1.0,6,6,py27
classifier_neuropeptide_y_receptor_type_4,1.0,1.0,6,6,py27
classifier_protein_kinase_c_gamma_type,1.0,1.0,4,4,py27
classifier_mitogen_activated_protein_kinase_kinase_kinase_12,1.0,1.0,79,79,py27
classifier_mitogen_activated_protein_kinase_1,0.9969418960244648,0.9999085756079722,163,164,py27
classifier_sodium_glucose_cotransporter_1,0.9965156794425087,0.9998908058528062,143,144,py27
classifier_complement_factor_d,0.9959839357429718,0.996,125,124,py35
classifier_prostaglandin_d2_receptor_2,0.9927272727272727,0.9927797833935018,277,273,py35
classifier_sodium_glucose_cotransporter_2,0.9922077922077922,0.9922680412371134,194,191,py35
classifier_p2x_purinoceptor_3,0.9910979228486648,0.9939982950895778,169,168,py27
classifier_proteinase_activated_receptor_1,0.9909909909909909,0.9910714285714286,56,55,py35
classifier_histone_lysine_n_methyltransferase_ezh2,0.9902912621359222,0.9997266265718971,51,52,py27
classifier_corticotropin_releasing_factor_receptor_1,0.9893842887473461,0.9935203360470433,236,235,py35
classifier_somatostatin_receptor_type_3,0.9887640449438202,0.9888888888888889,45,44,py35
classifier_serine_threonine_protein_kinase_mtor,0.9883570504527813,0.9971116732294119,384,389,py27
classifier_protein_kinase_c_beta_type,0.9879518072289156,0.9880952380952381,42,41,py27
classifier_endothelin_b_receptor,0.9876543209876543,0.9878048780487805,41,40,py35
classifier_sodium_dependent_dopamine_transporter,0.9874055415617129,0.9947094181249112,396,398,py27
classifier_inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_beta,0.9873417721518987,0.9875,40,39,py27
classifier_prostaglandin_e2_receptor_ep1_subtype,0.9873417721518987,0.9875,80,78,py35
classifier_retinoic_acid_receptor_rxr_alpha,0.9870129870129869,0.9996423462088698,38,39,py35
classifier_ileal_sodium_bile_acid_cotransporter,0.9866666666666666,0.986842105263158,38,37,py27
classifier_cyclin_dependent_kinase_6,0.9866666666666666,0.986842105263158,38,37,py27
classifier_bile_acid_receptor,0.9863013698630138,0.9995344506517692,36,37,py35
classifier_isocitrate_dehydrogenase_nadp_cytoplasmic,0.9863013698630138,0.9864864864864865,74,72,py27
classifier_microsomal_triglyceride_transfer_protein_large_subunit,0.9863013698630138,0.9995344506517692,36,37,py27
classifier_stromelysin_1,0.9859649122807017,0.9944591619375214,284,286,py27
classifier_acetyl_coenzyme_a_transporter_1,0.9859154929577464,0.9861111111111112,36,35,py27
classifier_neuropeptide_y_receptor_type_1,0.9857142857142858,0.9859154929577465,71,69,py35
classifier_glutamate_carboxypeptidase_2,0.9855072463768115,0.9857142857142858,35,34,py27
classifier_lysosomal_protective_protein,0.9855072463768115,0.9996296296296296,34,35,py27
classifier_fibroblast_growth_factor_receptor_3,0.9852941176470589,0.9855072463768115,69,67,py35
